"Name","Country","Age","Height, cm","Weight","Sex","Date of birth","Gold","Silver","Bronze","Total","Sport"
"Abdelaziz Sanqour Almazam","United Arab Emirates","23","182","63","M","5/7/1989","0","0","0","0","Football"
"Carlos Almeida","Portugal","23","182","87","M","8/4/1988","0","0","0","0","Swimming"
"Joao Carlos Almeida","Portugal","24","185","88","M","4/5/1988","0","0","0","0","Athletics"
"Kaio Almeida","Brazil","27","174","74","M","10/19/1984","0","0","0","0","Swimming"
"Nair Almeida","Angola","28","180","64","F","1/23/1984","0","0","0","0","Handball"
"Manuel Almeida Campos","Portugal","31","163","","M","7/12/1981","0","0","0","0","Gymnastics - Artistic"
"Johanna Almgren","Sweden","28","169","62","F","3/22/1984","0","0","0","0","Football"
"Ghfran Almouhamad","Syrian Arab Republic","23","176","72","F","6/6/1989","0","0","0","0","Athletics"
"Misha Aloian","Russian Federation","23","164","","M","8/23/1988","0","0","0","0","Boxing"
"Jessica Alonso Bernardo","Spain","28","172","65","F","9/20/1983","0","0","0","0","Handball"
"Jonathan Alonso Flete","Spain","21","175","","M","9/6/1990","0","0","0","0","Boxing"
"Kamel Alouini","Tunisia","24","187","86","M","7/6/1988","0","0","0","0","Handball"
"Anthony Alozie","Australia","25","171","79","M","8/18/1986","0","0","0","0","Athletics"
"Abbas Alqaisoum","Saudi Arabia","31","","94","M","10/31/1980","0","0","0","0","Weightlifting"
"Azza Alqasmi","Bahrain","27","","","F","2/12/1985","0","0","0","0","Shooting"
"Abdullah Alrashidi","Kuwait","48","180","95","M","8/21/1963","0","0","0","0","Shooting"
"Talal Alrashidi","Kuwait","19","176","70","M","7/24/1993","0","0","0","0","Shooting"
"Therese Alshammar","Sweden","34","180","65","F","8/26/1977","0","0","0","0","Swimming"
"Julio Alsogaray","Argentina","32","181","84","M","4/11/1980","0","0","0","0","Sailing"
"Ida Alstad","Norway","27","170","","F","6/13/1985","0","0","0","0","Handball"
"Maria Suelen Altheman","Brazil","23","175","78","F","8/12/1988","0","0","0","0","Judo"
"Eniola Aluko","Great Britain","25","157","56","F","2/21/1987","0","0","0","0","Football"
"Ever Alvarado","Honduras","20","170","70","M","1/30/1992","0","0","0","0","Football"
"Luis Alvarez","Mexico","21","174","90","M","4/13/1991","0","0","0","0","Archery"
"Sergio Alvarez Boulet","Cuba","32","","56","M","10/11/1979","0","0","0","0","Weightlifting"
"Lazaro Alvarez Estrada","Cuba","21","","","M","1/28/1991","0","0","0","0","Boxing"
"Yuri Alvear","Colombia","26","174","70","F","3/29/1986","0","0","1","1","Judo"
"Francisco Javier Alves","Spain","31","182","66","M","9/2/1980","0","0","0","0","Athletics"
"Thiago Soares Alves","Brazil","26","194","88","M","7/26/1986","0","0","0","0","Volleyball"
"Anna Alyabyeva","Kazakhstan","18","174","","F","11/13/1993","0","0","0","0","Gymnastics - Rhythmic"
"Saad Surour Alyassi","United Arab Emirates","22","173","64","M","7/19/1990","0","0","0","0","Football"
"Darisleydis Amador","Cuba","24","","","F","1/1/1988","0","0","0","0","Canoe Sprint"
"Andrey Amador Bakkazakova","Costa Rica","25","181","72","M","8/29/1986","0","0","0","0","Cycling - Road"
"Mohammed Aman","Ethiopia","18","175","58","M","1/10/1994","0","0","0","0","Athletics"
"Ranohon Amanova","Uzbekistan","18","174","61","F","3/8/1994","0","0","0","0","Swimming"
"Dante Amaral","Brazil","31","201","86","M","9/30/1980","0","0","0","0","Volleyball"
"Yadinys Amaris","Colombia","28","162","57","F","4/1/1984","0","0","0","0","Judo"
"Pol Amat","Spain","34","183","78","M","6/18/1978","0","0","0","0","Hockey"
"Doreen Amata","Nigeria","24","198","54","F","5/6/1988","0","0","0","0","Athletics"
"Kim Amb","Sweden","22","177","86","M","7/31/1990","0","0","0","0","Athletics"
"Eloise Amberger","Australia","25","165","","F","1/28/1987","0","0","0","0","Synchronised Swimming"
"Serge Ambomo","Cameroon","26","","","M","7/2/1986","0","0","0","0","Boxing"
"Harald Ambros","Austria","32","177","75","M","3/19/1980","0","0","0","0","Equestrian"
"Nourhan Amer","Egypt","19","160","55","F","5/10/1993","0","0","0","0","Shooting"
"Christine Amertil","Bahamas","32","168","54","F","8/18/1979","0","0","0","0","Athletics"
"Alena Amialiusik","Belarus","23","169","53","F","2/6/1989","0","0","0","0","Cycling - Road"
"Al-Farouq Aminu","Nigeria","21","208","","M","9/21/1990","0","0","0","0","Basketball"
"Alade Aminu","Nigeria","24","210","","M","9/14/1987","0","0","0","0","Basketball"
"Eduarda Amorim","Brazil","25","186","84","F","9/23/1986","0","0","0","0","Handball"
"Vanessa Amoros Quiles","Spain","29","167","62","F","12/7/1982","0","0","0","0","Handball"
"Nijel Amos","Botswana","18","179","60","M","3/15/1994","0","0","0","0","Athletics"
"Alberta Boatema Ampomah","Ghana","17","","80","F","11/3/1994","0","0","0","0","Weightlifting"
"Noureddine Amrabat","Morocco","25","178","81","M","3/31/1987","0","0","0","0","Football"
"Marwa Amri","Tunisia","23","161","55","F","1/8/1989","0","0","0","0","Wrestling"
"Mohamed Amsif","Morocco","23","187","90","M","2/7/1989","0","0","0","0","Football"
"Kum Ae An","Democratic People's Republic  of Korea","32","160","52","F","6/3/1980","1","0","0","1","Judo"
"Phara Anacharsis","France","28","177","66","F","12/17/1983","0","0","0","0","Athletics"
"Tumua Anae","United States of America","23","180","70","F","10/16/1988","0","0","0","0","Water Polo"
"Takamasa Anai","Japan","27","187","100","M","8/5/1984","0","0","0","0","Judo"
"Anis Ananenka","Belarus","26","176","65","M","11/29/1985","0","0","0","0","Athletics"
"Anton Anchin","Russian Federation","22","187","68","M","1/30/1990","0","0","0","0","Swimming"
"David Andersen","Australia","32","212","102","M","6/23/1980","0","0","0","0","Basketball"
"Stine Andersen","Denmark","27","169","75","F","1/16/1985","0","0","0","0","Shooting"
"Alyssa Anderson","United States of America","21","173","64","F","9/30/1990","1","0","0","1","Swimming"
"Haley Anderson","United States of America","20","178","68","F","11/20/1991","0","0","0","0","Swimming"
"Jenny-Lyn Anderson","Australia","19","162","","F","8/13/1992","0","0","0","0","Synchronised Swimming"
"Matthew Anderson","United States of America","25","208","93","M","4/18/1987","0","0","0","0","Volleyball"
"Rose Anderson","Great Britain","24","175","70","F","3/23/1988","0","0","0","0","Basketball"
"Kim Andersson","Sweden","29","201","110","M","8/21/1982","0","0","0","0","Handball"
"Mattias Andersson","Sweden","34","185","90","M","3/29/1978","0","0","0","0","Handball"
"Isabellah Andersson","Sweden","31","170","55","F","11/12/1980","0","0","0","0","Athletics"
"Elizabeth Andiego","Kenya","25","172","","F","8/21/1986","0","0","0","0","Boxing"
"Kozue Ando","Japan","30","164","57","F","7/9/1982","0","0","0","0","Football"
"Shunsuke Ando","Japan","21","185","79","M","8/10/1990","0","0","0","0","Football"
"Danail Andonov Petrov","Bulgaria","34","171","63","M","2/5/1978","0","0","0","0","Cycling - Road"
"Francisco Andrade","Portugal","32","172","77","M","7/6/1980","0","0","0","0","Sailing"
"Lady Andrade","Colombia","20","172","62","F","1/10/1992","0","0","0","0","Football"
"Marcia Yuleisi Andrades Mendoza","Venezuela","28","165","55","F","5/17/1984","0","0","0","0","Wrestling"
"Bjorn Andrae","Germany","31","200","97","M","5/14/1981","0","0","0","0","Volleyball"
"Nilson Andre","Brazil","26","172","70","M","1/30/1986","0","0","0","0","Athletics"
"Grigoriy Andreev","Russian Federation","36","180","70","M","1/7/1976","0","0","0","0","Athletics"
"Ekaterina Andreeva","Russian Federation","19","174","64","F","8/3/1993","0","0","0","0","Swimming"
"Iuliia Andreeva","Kyrgyzstan","28","168","58","F","3/7/1984","0","0","0","0","Athletics"
"Viktoriia Andreeva","Russian Federation","20","189","76","F","6/21/1992","0","0","0","0","Swimming"
"Antonakis Andreou","Cyprus","37","173","68","M","11/24/1974","0","0","0","0","Shooting"
"Panagiota Andreou","Cyprus","16","162","55","F","11/10/1995","0","0","0","0","Shooting"
"Jake Andrewartha","Australia","22","196","120","M","12/24/1989","0","0","0","0","Judo"
"Valerii Andriitsev","Ukraine","25","189","102","M","2/27/1987","0","0","0","0","Wrestling"
"Matthieu Androdias","France","22","194","95","M","6/11/1990","0","0","0","0","Rowing"
"Alona Andruk","Ukraine","25","170","56","F","6/11/1987","0","0","0","0","Cycling - Road"
"Georgeta Andrunache","Romania","36","178","75","F","4/14/1976","0","0","0","0","Rowing"
"Tamir Andryei","Mongolia","26","181","80","M","1/24/1986","0","0","0","0","Swimming"
"Juan Diego Angeloni","Argentina","34","168","60","M","6/24/1978","0","0","0","0","Shooting"
"Ivo Serafimov Angelov","Bulgaria","27","164","60","M","10/15/1984","0","0","0","0","Wrestling"
"Tonje Angelsen","Norway","22","","","F","1/17/1990","0","0","0","0","Athletics"
"Giuseppe Angilella","Italy","27","177","77","M","8/27/1984","0","0","0","0","Sailing"
"Matteo Angioletti","Italy","31","162","","M","11/8/1980","0","0","0","0","Gymnastics - Artistic"
"Franka Anic","Slovenia","21","181","","F","2/5/1991","0","0","0","0","Taekwondo"
"Vitaliy Anichkin","Kazakhstan","23","170","60","M","11/11/1988","0","0","0","0","Athletics"
"Vida Anim","Ghana","28","162","63","F","12/7/1983","0","0","0","0","Athletics"
"Adil Annani","Morocco","32","172","56","M","6/30/1980","0","0","0","0","Athletics"
"Sajjad Anoushiravani Hamlabad","Islamic Republic of Iran","28","192","105","M","5/12/1984","0","0","0","0","Weightlifting"
"Jennifer Anson","Palau","35","165","63","F","3/5/1977","0","0","0","0","Judo"
"Dora Antal","Hungary","18","168","60","F","9/9/1993","0","0","0","0","Water Polo"
"Lissette Alexandra Antes Castillo","Ecuador","21","168","55","F","5/2/1991","0","0","0","0","Wrestling"
"Carmelo Anthony","United States of America","28","203","104","M","5/29/1984","0","0","0","0","Basketball"
"Mark Anthony","Australia","22","187","90","M","10/13/1989","0","0","0","0","Judo"
"Seema Antil","India","29","","","F","7/27/1983","0","0","0","0","Athletics"
"Maria Antonelli","Brazil","28","176","68","F","2/25/1984","0","0","0","0","Beach Volleyball"
"Manuel Antonio","Angola","23","177","69","M","11/3/1988","0","0","0","0","Athletics"
"Semen Antonov","Russian Federation","23","202","97","M","7/18/1989","0","0","0","0","Basketball"
"Alexandra Antonova","Russian Federation","20","170","55","F","12/22/1991","0","0","0","0","Water Polo"
"Diana Antonova","Russian Federation","19","168","50","F","1/17/1993","0","0","0","0","Water Polo"
"Tatiana Antoshina","Russian Federation","30","174","55","F","7/27/1982","0","0","0","0","Cycling - Road"
"Jitka Antosova","Czech Republic","25","175","73","F","3/13/1987","0","0","0","0","Rowing"
"Lenka Antosova","Czech Republic","20","177","70","F","9/27/1991","0","0","0","0","Rowing"
"Miika Antti-Roiko","Finland","23","174","95","M","11/20/1988","0","0","0","0","Weightlifting"
"Natalya Antyukh","Russian Federation","31","178","69","F","6/26/1981","0","0","0","0","Athletics"
"Marcos Aoas Correa","Brazil","18","","","M","5/14/1994","0","0","0","0","Football"
"Esref Apak","Turkey","31","184","115","M","1/3/1981","0","0","0","0","Athletics"
"Nikolay Apalikov","Russian Federation","29","203","106","M","8/26/1982","0","0","0","0","Volleyball"
"Bolade Apithy","France","26","180","78","M","8/21/1985","0","0","0","0","Fencing"
"Tiago Apolonia","Portugal","26","186","74","M","7/28/1986","0","0","0","0","Table Tennis"
"Lusapho April","South Africa","30","172","50","M","5/24/1982","0","0","0","0","Athletics"
"Javier Aquino","Mexico","22","165","62","M","2/11/1990","0","0","0","0","Football"
"Erika Araki","Japan","28","186","80","F","8/3/1984","0","0","0","0","Volleyball"
"Nada Mohammed W S Arakji","Qatar","17","162","60","F","10/30/1994","0","0","0","0","Swimming"
"Juan Jose Aramburu","Spain","30","170","83","M","10/13/1981","0","0","0","0","Shooting"
"Juan Esteban Arango Carvajal","Colombia","25","172","62","M","10/6/1986","0","0","0","0","Cycling - Track"
"Krystian Aranowski","Poland","24","198","100","M","4/11/1988","0","0","0","0","Rowing"
"Jacob Araptany","Uganda","18","168","58","M","2/11/1994","0","0","0","0","Athletics"
"Yukiya Arashiro","Japan","27","171","64","M","9/22/1984","0","0","0","0","Cycling - Road"
"Adriana Araujo","Brazil","30","169","","F","11/4/1981","0","0","0","0","Boxing"
"Nestor Araujo","Mexico","20","187","77","M","8/29/1991","0","0","0","0","Football"
"Edward Araya","Chile","26","176","61","M","2/14/1986","0","0","0","0","Athletics"
"Yerko Araya","Chile","26","177","65","M","2/14/1986","0","0","0","0","Athletics"
"Geisa Arcanjo","Brazil","20","","","F","9/19/1991","0","0","0","0","Athletics"
"Shane Archbold","New Zealand","23","182","79","M","2/2/1989","0","0","0","0","Cycling - Track"
"Robert Archibald","Great Britain","32","212","115","M","3/29/1980","0","0","0","0","Basketball"
"Ryan Archibald","New Zealand","31","186","78","M","9/1/1980","0","0","0","0","Hockey"
"Koko Archibong","Nigeria","31","199","","M","5/10/1981","0","0","0","0","Basketball"
"Giulia Arcioni","Italy","26","171","55","F","3/21/1986","0","0","0","0","Athletics"
"Saylom Ardee","Thailand","26","176","","M","7/7/1986","0","0","0","0","Boxing"
"Abeba Aregawi","Ethiopia","22","170","52","F","7/5/1990","0","0","0","0","Athletics"
"Sandra Arenas","Colombia","18","","","F","9/17/1993","0","0","0","0","Athletics"
"Humberto Daniel Arencibia Martinez","Cuba","22","","","M","11/20/1989","0","0","0","0","Wrestling"
"Mareks Arents","Latvia","25","190","85","M","8/6/1986","0","0","0","0","Athletics"
"Eider Arevalo","Colombia","19","","","M","3/9/1993","0","0","0","0","Athletics"
"Egidio Arevalo","Uruguay","30","168","73","M","1/1/1982","0","0","0","0","Football"
"Samantha Arevalo Salinas","Ecuador","17","168","58","F","9/30/1994","0","0","0","0","Swimming"
"Nataly Arias","Colombia","26","170","62","F","4/2/1986","0","0","0","0","Football"
"Ramon Arias","Uruguay","20","178","72","M","7/27/1992","0","0","0","0","Football"
"Candida Estefany Arias Perez","Dominican Republic","20","192","68","F","3/11/1992","0","0","0","0","Volleyball"
"Wellington Arias Romero","Dominican Republic","21","170","","M","3/13/1991","0","0","0","0","Boxing"
"Polat Kemboi Arikan","Turkey","21","175","62","M","12/12/1990","0","0","0","0","Athletics"
"Saori Ariyoshi","Japan","24","158","53","F","11/1/1987","0","0","0","0","Football"
"Natalia Ariza","Colombia","21","160","52","F","2/21/1991","0","0","0","0","Football"
"Tatiana Ariza","Colombia","21","163","52","F","2/21/1991","0","0","0","0","Football"
"Wilma Arizapana","Peru","29","164","54","F","10/1/1982","0","0","0","0","Athletics"
"Mohammed Arjaoui","Morocco","25","","","M","6/6/1987","0","0","0","0","Boxing"
"Michael Arms","New Zealand","22","199","95","M","9/23/1989","0","0","0","0","Rowing"
"Betsey Armstrong","United States of America","29","188","77","F","1/31/1983","0","0","0","0","Water Polo"
"Dylan Armstrong","Canada","31","193","139","M","1/15/1981","0","0","0","0","Athletics"
"Kristin Armstrong","United States of America","38","173","58","F","8/11/1973","1","0","0","1","Cycling - Road"
"Daniel Arnamnart","Australia","22","178","80","M","9/14/1989","0","0","0","0","Swimming"
"Arni Mar Arnason","Iceland","24","","","M","10/9/1987","0","0","0","0","Swimming"
"Judith Arndt","Germany","36","173","59","F","7/23/1976","0","1","0","1","Cycling - Road, Cycling - Track"
"Felix Aronovich","Israel","24","168","","M","7/18/1988","0","0","0","0","Gymnastics - Artistic"
"Valentina Arrighetti","Italy","27","185","72","F","1/26/1985","0","0","0","0","Volleyball"
"Gabriel Arroyo","Argentina","35","194","95","M","3/3/1977","0","0","0","0","Volleyball"
"Jorge David Arroyo Valdez","Ecuador","20","193","105","M","9/23/1991","0","0","0","0","Weightlifting"
"Heather Arseth","Mauritius","18","170","60","F","8/9/1993","0","0","0","0","Swimming"
"Artiom Arshanski","Israel","20","163","60","M","9/26/1991","0","0","0","0","Judo"
"Andrea Arsovic","Serbia","25","165","59","F","2/5/1987","0","0","0","0","Shooting"
"Mauricio Arteaga","Ecuador","23","178","62","M","8/8/1988","0","0","0","0","Athletics"
"Olga Arteshina","Russian Federation","29","190","77","F","11/27/1982","0","0","0","0","Basketball"
"Rifat Artikov","Uzbekistan","29","195","92","M","1/24/1983","0","0","0","0","Athletics"
"Danila Artiomov","Republic of Moldova","17","188","79","M","10/16/1994","0","0","0","0","Swimming"
"Eleni Artymata","Cyprus","26","177","59","F","5/16/1986","0","0","0","0","Athletics"
"Quadri Aruna","Nigeria","23","","73","M","8/9/1988","0","0","0","0","Table Tennis"
"Zorana Arunovic","Serbia","25","168","85","F","11/22/1986","0","0","0","0","Shooting"
"Ardo Arusaar","Estonia","24","182","96","M","6/24/1988","0","0","0","0","Wrestling"
"Vasiliki Arvaniti","Greece","27","176","67","F","3/17/1985","0","0","0","0","Beach Volleyball"
"Sofia Arvidsson","Sweden","28","177","70","F","2/16/1984","0","0","0","0","Tennis"
"Maryna Arzamasava","Belarus","24","173","57","F","12/17/1987","0","0","0","0","Athletics"
"Mohammad Arzandeh","Islamic Republic of Iran","24","180","76","M","10/30/1987","0","0","0","0","Athletics"
"Elena Arzhakova","Russian Federation","22","167","54","F","9/8/1989","0","0","0","0","Athletics"
"Maryam Arzouqi","Kuwait","25","165","55","F","3/6/1987","0","0","0","0","Shooting"
"Laura Asadauskaite","Lithuania","28","160","48","F","2/28/1984","0","0","0","0","Modern Pentathlon"
"Kentaro Asahi","Japan","36","199","95","M","9/19/1975","0","0","0","0","Beach Volleyball"
"Sakiyo Asano","Japan","25","164","60","F","5/26/1987","0","0","0","0","Hockey"
"Natalya Asanova","Uzbekistan","22","177","58","F","11/29/1989","0","0","0","0","Athletics"
"Anita Asante","Great Britain","27","166","64","F","4/27/1985","0","0","0","0","Football"
"Rohollah Asgari","Islamic Republic of Iran","30","187","82","M","1/8/1982","0","0","0","0","Athletics"
"Toghrul Asgarov","Azerbaijan","19","172","60","M","9/17/1992","0","0","0","0","Wrestling"
"Rabia Ashiq","Pakistan","20","","","F","4/15/1992","0","0","0","0","Athletics"
"Irada Ashumova","Azerbaijan","54","157","60","F","2/25/1958","0","0","0","0","Shooting"
"Jess Ashwood","Australia","19","173","64","F","4/28/1993","0","0","0","0","Swimming"
"Erzhan Askarov","Kyrgyzstan","26","172","70","M","9/29/1985","0","0","0","0","Athletics"
"Kosovare Asllani","Sweden","23","166","56","F","7/29/1989","0","0","0","0","Football"
"Yared Asmerom","Eritrea","32","171","58","M","2/4/1980","0","0","0","0","Athletics"
"Dina Aspandiyarova","Australia","36","158","65","F","7/10/1976","0","0","0","0","Shooting"
"Victor Aspillaga Alayza","Peru","27","181","72","M","7/2/1985","0","0","0","0","Rowing"
